n_jobs: 1	ThreadPoolExecutor time: 0.77565	ProcessPoolExecutor time: 0.60754
n_jobs: 2	ThreadPoolExecutor time: 1.07560	ProcessPoolExecutor time: 0.48512
n_jobs: 3	ThreadPoolExecutor time: 1.19687	ProcessPoolExecutor time: 0.34692
n_jobs: 4	ThreadPoolExecutor time: 1.25401	ProcessPoolExecutor time: 0.27161
n_jobs: 5	ThreadPoolExecutor time: 1.21858	ProcessPoolExecutor time: 0.21334
n_jobs: 6	ThreadPoolExecutor time: 1.23656	ProcessPoolExecutor time: 0.19414
n_jobs: 7	ThreadPoolExecutor time: 1.26093	ProcessPoolExecutor time: 0.19692
n_jobs: 8	ThreadPoolExecutor time: 1.18997	ProcessPoolExecutor time: 0.17500
n_jobs: 9	ThreadPoolExecutor time: 1.16969	ProcessPoolExecutor time: 0.16094
n_jobs: 10	ThreadPoolExecutor time: 1.23852	ProcessPoolExecutor time: 0.14790
n_jobs: 11	ThreadPoolExecutor time: 1.25418	ProcessPoolExecutor time: 0.14191
n_jobs: 12	ThreadPoolExecutor time: 1.22645	ProcessPoolExecutor time: 0.12964
n_jobs: 13	ThreadPoolExecutor time: 1.24476	ProcessPoolExecutor time: 0.13147
n_jobs: 14	ThreadPoolExecutor time: 1.18648	ProcessPoolExecutor time: 0.12139
n_jobs: 15	ThreadPoolExecutor time: 1.21751	ProcessPoolExecutor time: 0.12485
n_jobs: 16	ThreadPoolExecutor time: 1.24695	ProcessPoolExecutor time: 0.13031
n_jobs: 17	ThreadPoolExecutor time: 1.23537	ProcessPoolExecutor time: 0.12427
n_jobs: 18	ThreadPoolExecutor time: 1.26142	ProcessPoolExecutor time: 0.11954
n_jobs: 19	ThreadPoolExecutor time: 1.26203	ProcessPoolExecutor time: 0.12144
n_jobs: 20	ThreadPoolExecutor time: 1.24212	ProcessPoolExecutor time: 0.12458
